,N,Tiempo (s),Memoria (MB)
0,100,0.2263474464416504,57.84765625
1,500,0.13377046585083008,57.85546875
2,1000,0.14995193481445312,57.88671875
3,5000,0.3077540397644043,58.03515625
4,10000,0.49546122550964355,58.28515625
5,50000,2.0694563388824463,59.08203125
6,100000,4.08180832862854,58.3203125
7,500000,18.526335954666138,58.80078125
8,1000000,36.61104416847229,58.3046875
9,5000000,388.8617196083069,58.28125
