,N,Tiempo (s),Memoria (MB)
0,100,0.23026227951049805,57.8515625
1,500,0.13039541244506836,57.85546875
2,1000,0.14903855323791504,57.87890625
3,5000,0.2935523986816406,58.046875
4,10000,0.48514294624328613,58.2265625
5,50000,2.0417544841766357,58.84765625
6,100000,3.7960543632507324,58.203125
7,500000,19.584469318389893,58.68359375
8,1000000,40.43100190162659,58.1875
